study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,56.338872354497,49.166015311849,636,791,155,9.5195351050324,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,45.444793921356,50.55885408316,809,921,112,21.987538449671,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,20.257879950263,48.020676926927,940,1116,176,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,88.28125,54.714681537598,1277,1399,122,13.172144640447,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,73.903585242561,46.435819945658,1493,1884,391,17.317665792877,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,5,3,1,55.612668900732,60.233328653266,1996,2243,247,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,7,1,40.465856481481,38.252314814815,0,94,94,17.320009360569,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,7,1,59.332400977366,49.347789234942,178,560,382,9.2273933750568,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,7,1,48.924981725146,52.799955486359,580,972,392,7.7107932833258,
a8e98608-7fb7-4b08-847c-36de3c777fb1,890e1c4b-a97b-49d0-8dd2-ce364e47a594,4.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_890e1c4b-a97b-49d0-8dd2-ce364e47a594.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,7,1,41.71235380117,43.69212962963,994,1385,391,3.4769347243314,
